,Flight Record,Flight Date (Exact),Tail Number,Airframe,Fleet,Takeoff Airport Code,Landing Airport Code,P14: Event Record,P14: Event Type,P14: Severity,P14: False Positive,P14: Start of Event - 10 seconds Seconds (From Start of File),P14: End of Event + 10 seconds Seconds (From Start of File),P14: Data Dropouts (seconds),P14: Error b/w GMT and Recorded Time around event (%),P14: Estimated Nav Error at Start of Event (nm),P14: Standard Deviation of Sample Rate of GMT (Event Interval +/- 30 Seconds (Hz),P14: Flap Handle Position at Start of Event,P14: Speed Brake Handle Position at Start of Event (deg),P14: Flap Position at Start of Event (deg+=TED),P14: Duration of Event (Seconds),P14: Terrain Elevation at Start of Event (ft),P14: Uncertainty in Touchdown Position based on Recorded Position (ft),target
224,2874549,2020-03-01 05:15:29+00:00,VH-VXN,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,41104527,Rotation Speed High,Level 2,Not a False Positive,467.5,487.5,0.0,-9.5367431640625e-05,0.0015975379965607246,0.0,5.0,-1.0102835893630981,5.00386212323163,0.0,5.686241865158081,99.99999181704001,0
227,2874390,2020-03-01 00:33:22+00:00,VH-VYG,737-800,QFA - 737-800 (1024 wps),YBBN,YPAD,41104779,Late Landing Flap Selection,Level 2,Bad Parameter: Bad Sensor on Airplane,8840.0,8860.0,0.0,-9.5367431640625e-05,0.006044925652656688,0.0,30.0,0.36704155802726746,17.168014526367188,0.0,272.3097229003906,99.99999181704001,1
228,2874228,2020-02-29 22:24:36+00:00,VH-VYG,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,41104896,Late Landing Flap Selection,Level 2,Bad Parameter: Bad Sensor on Airplane,5129.0,5149.0,4.0,0.0041961669921875,0.004085483264639283,0.0,30.0,3.1088037490844727,17.578170776367188,0.0,0.0,99.99999181704001,1
229,2873927,2020-02-29 06:42:01+00:00,VH-VYG,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,41105162,Late Landing Flap Selection,Level 2,Bad Parameter: Bad Sensor on Airplane,4327.0,4347.0,4.0,-9.5367431640625e-05,0.0030809140741680195,0.0,30.0,4.0189409255981445,16.113327026367188,0.0,0.0,99.99999181704001,1
230,2873813,2020-02-29 03:25:19+00:00,VH-VYG,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,41105336,Late Landing Flap Selection,Level 2,Bad Parameter: Bad Sensor on Airplane,5207.0,5227.0,0.0,-9.5367431640625e-05,0.003526833236391849,0.0,30.0,4.0189409255981445,17.636764526367188,0.0,501.968505859375,99.99999181704001,1
231,2867929,2020-02-23 23:21:06+00:00,VH-VXA,737-800,QFA - 737-800 (1024 wps),YMML,YPAD,41110764,Airborne Speed High,Level 2,Not a False Positive,1850.0,1871.0,0.0,0.0005548650568181819,0.002678794534539351,0.0,5.0,0.4587097465991974,5.180015563964844,1.0,381.94189453125,99.99999181704001,0
232,2873488,2020-02-29 00:41:03+00:00,VH-VYG,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,41105472,Late Landing Flap Selection,Level 2,Bad Parameter: Bad Sensor on Airplane,4435.0,4455.0,2.0,-9.5367431640625e-05,0.0017250909489947936,0.0,30.0,3.928011894226074,17.519577026367188,0.0,49.21259689331055,99.99999181704001,1
233,2873419,2020-02-28 22:48:24+00:00,VH-VYG,737-800,QFA - 737-800 (1024 wps),YPAD,YMML,41105583,Late Landing Flap Selection,Level 2,Bad Parameter: Bad Sensor on Airplane,4288.0,4308.0,0.0,-0.00152587890625,0.004131715556719704,0.0,30.0,0.2753542363643646,17.109420776367188,0.0,757.8740234375,99.99999181704001,1
235,2876051,2020-03-02 21:57:52+00:00,VH-VYG,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,41102771,Late Landing Flap Selection,Level 2,Bad Parameter: Bad Sensor on Airplane,5376.0,5396.0,2.0,-0.00152587890625,0.005779671713744751,0.0,30.0,3.928011894226074,16.757858276367188,0.0,0.0,99.99999181704001,1
236,2875702,2020-03-02 08:48:15+00:00,VH-VYG,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,41102979,Late Landing Flap Selection,Level 2,Bad Parameter: Bad Sensor on Airplane,4507.0,4527.0,0.0,0.00133514404296875,0.005298677816975418,0.0,30.0,3.928011894226074,16.406295776367188,0.0,456.0367431640625,99.99999181704001,1
237,2875673,2020-03-02 08:04:59+00:00,VH-VXG,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,41103094,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,1402.0,1434.0,0.0,0.0005548650568181819,0.0037318465004322877,0.0,0.0,-1.378301739692688,0.014252554725956273,12.0,1722.4409423828124,99.99999181704001,1
240,2871350,2020-02-27 08:26:58+00:00,VH-XZF,737-800,QFA - 737-800 (1024 wps),YPAD,YMML,41107102,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,377.75,397.75,0.0,-0.00152587890625,0.018695890208703606,0.0,1.0,-1.1022591590881348,1.0124205564841247,0.0,15.707326173782349,99.99999181704001,0
241,2870804,2020-02-27 02:09:57+00:00,VH-VXU,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,41107543,Rotation Speed High,Level 3,Not a False Positive,495.0,515.0,0.0,-9.5367431640625e-05,0.01091373991056533,0.0,5.0,-0.27517226338386536,5.156261340991871,0.0,6.001302242279053,99.99999181704001,0
242,2870487,2020-02-26 19:37:55+00:00,VH-VYD,737-800,QFA - 737-800 (1024 wps),YMML,YSCB,41107994,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,680.25,700.25,6.0,-0.00152587890625,0.028270193986201148,0.0,1.0,-1.2862682342529297,0.9845868703481313,0.0,396.62670135498047,99.99999181704001,0
243,2870292,2020-02-26 09:23:25+00:00,VH-VZM,737-800,QFA - 737-800 (1024 wps),YPAD,YMML,41108189,High Speed Below 5000 ft AAL,Level 2,Not a False Positive,3438.0,3474.0,2.0,0.00032537123736213236,0.00452380541584364,0.0,0.0,-1.1942540407180786,0.0,16.0,1349.423095703125,99.99999181704001,0
244,2870209,2020-02-26 07:02:27+00:00,VH-XZH,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,41108322,VFE (Flap Airspeed Limit) Exceedance,Level 2,Not a False Positive,5528.0,5550.0,4.0,-0.0002126224705430328,0.011710263624018575,0.0,30.0,14.797004699707031,30.078183492024742,2.0,136.62098693847656,99.99999181704001,0
245,2869969,2020-02-25 06:13:31+00:00,VH-XZB,737-800,QFA - 737-800 (1024 wps),YMML,YSCB,41108527,Rotation Speed High,Level 2,Not a False Positive,1523.75,1543.75,4.0,-9.5367431640625e-05,0.012421722564960106,0.0,5.0,-0.5506946444511414,4.993988758808857,0.0,388.6556854248047,99.99999181704001,0
246,2863008,2020-02-18 20:52:13+00:00,VH-VZH,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,41115976,Pitch Attitude High During Rotation (Gears Extended),Level 3,Bad Parameter: Short-term Data Dropout,88.25,108.25,4.0,262.4987602233887,0.10431019621264123,0.0,5.0,-0.36699384450912476,5.061244449099979,0.0,226.7721824645996,99.99999181704001,1
247,2869985,2020-02-26 00:52:23+00:00,VH-XZD,737-800,QFA - 737-800 (1024 wps),NZCH,YMML,41108632,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,502.25,522.25,2.0,3.8743019104003906e-05,0.04528431602825235,0.0,1.0,-1.1942540407180786,1.0124205564841247,0.0,99.4162368774414,99.99999181704001,0
