flight_record,flight_date_exact,tail_number,airframe,fleet,takeoff_airport_code,landing_airport_code,p14_event_record,p14_event_type,p14_severity,p14_false_positive,p14_start_of_event_10_seconds_seconds_from_start_of_file,p14_end_of_event_10_seconds_seconds_from_start_of_file,p14_data_dropouts_seconds,p14_error_b_w_gmt_and_recorded_time_around_event_percent,p14_estimated_nav_error_at_start_of_event_nm,p14_standard_deviation_of_sample_rate_of_gmt_event_interval_30_seconds_hz,p14_flap_handle_position_at_start_of_event,p14_speed_brake_handle_position_at_start_of_event_deg,p14_flap_position_at_start_of_event_deg_ted,target
2435948,7/11/2018 22:30,VH-VXN,737-800,QFA - 737-800 (1024 wps),YPAD,YMML,40817262,Approach Speed High Below 50 ft AGL (Vref),Level 2,Not a False Positive,3887,3910,0,0.004614853,0.019724451,0,30,4.382470131,29.8633105,0
2435998,7/11/2018 23:00,VH-VXR,737-800,QFA - 737-800 (1024 wps),YMML,YBCG,40817286,Airborne Speed High,Level 2,Not a False Positive,469,489,7,0.004196167,0.027658409,0,5,-1.37830174,4.979736225,0
2435469,7/11/2018 5:09,VH-VZD,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,40817451,Airborne Speed High,Level 2,Not a False Positive,482,504,0,-2.13E-04,0.056928398,0,1,-1.562426805,1.012420556,0
2435303,7/11/2018 1:58,VH-VXG,737-800,QFA - 737-800 (1024 wps),YMML,YSCB,40817599,Pitch Rate Low during Rotation,Level 2,Not a False Positive,662.5,686.5,4,-3.26E-04,0.031677903,0,5,-0.642573953,5.180015564,0
2434752,6/11/2018 7:12,VH-VYF,737-800,QFA - 737-800 (1024 wps),YSCB,YMML,40817709,Deep Touchdown,Level 2,Not a False Positive,3929,3949,0,0.001335144,0.031065553,0,30,2.926550388,30.01958974,0
2434498,6/11/2018 2:55,VH-VZG,737-800,QFA - 737-800 (1024 wps),YBAS,YPAD,40818001,Airborne Speed High,Level 2,Not a False Positive,465,485,0,-9.54E-05,0.063772137,0,10,-1.194254041,10.30275345,0
2433759,5/11/2018 3:49,VH-VYB,737-800,QFA - 737-800 (1024 wps),YMHB,YMML,40818367,High Rate of Descent 1000 ft HAT -> 500 HAT,Level 2,Not a False Positive,4381,4406,4,-0.001068115,0.002666771,0,30,-0.734472454,30.13677724,0
2433627,4/11/2018 23:53,VH-VXR,737-800,QFA - 737-800 (1024 wps),YSSY,YPAD,40818402,Airborne Speed High,Level 2,Not a False Positive,1207,1227,0,-0.001525879,0.038194582,0,1,-1.470354557,0.989337715,0
2432811,4/11/2018 19:36,VH-VZP,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,40818698,High Speed Below 3000 ft AAL,Level 2,Not a False Positive,5447,5480,0,0.002432228,0.003545945,0,0,33.65470505,0,0
2432673,4/11/2018 9:37,VH-VXN,737-800,QFA - 737-800 (1024 wps),YPPH,YPAD,40818705,Airborne Speed High,Level 2,Not a False Positive,497,517,0,-0.001525879,0.038498076,0,5,-1.102259159,4.993988759,0
2432611,4/11/2018 8:30,VH-VZB,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40818716,Climb Speed High,Level 2,Not a False Positive,1017,1040,0,-9.68E-04,0.027043211,0,1,-0.091586694,0.98458687,0
2432509,4/11/2018 5:49,VH-VXU,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40818755,Airborne Speed High,Level 2,Not a False Positive,932,952,0,-9.54E-05,0.028794312,0,5,-0.458834648,5.156261341,0
2432573,4/11/2018 5:08,VH-VZD,737-800,QFA - 737-800 (1024 wps),YPDN,YPPH,40818866,Pitch Rate Low during Rotation,Level 2,Not a False Positive,432.75,456.75,0,-3.26E-04,0.035501642,0,15,-1.562426805,15.52738698,0
2432446,4/11/2018 3:07,VH-VXE,737-800,QFA - 737-800 (1024 wps),YBAS,YSSY,40818904,Airborne Speed High,Level 2,Not a False Positive,463,483,2,-9.54E-05,0.037035694,0,5,0.458709747,4.965483691,0
2432093,3/11/2018 11:24,VH-VXL,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40819001,Deep Touchdown,Level 2,Not a False Positive,4854,4874,0,0.001335144,0.036588303,0,30,4.200743198,29.92190425,0
2431854,3/11/2018 1:51,VH-VXE,737-800,QFA - 737-800 (1024 wps),YMML,YMHB,40819152,GPWS: Sink Rate,Level 2,Not a False Positive,4136,4158,0,-2.13E-04,0.012085074,0,30,4.291615963,29.95120112,0
2431994,2/11/2018 23:31,VH-VZH,737-800,QFA - 737-800 (1024 wps),YSSY,NZWN,40819182,GPWS: Windshear Warning,Level 2,Not a False Positive,10668,10691,2,-2.70E-04,0.019505687,0,30,3.746097088,30.07818349,0
2431997,3/11/2018 3:10,VH-VZH,737-800,QFA - 737-800 (1024 wps),NZWN,YSSY,40819281,Airborne Speed High,Level 2,Not a False Positive,483,504,0,-1.54E-04,0.01932863,0,5,-1.102259159,5.061244449,0
2431833,3/11/2018 0:16,VH-VYJ,737-800,QFA - 737-800 (1024 wps),YPAD,YSSY,40819331,Rotation Speed High,Level 2,Not a False Positive,534.75,554.75,2,-5.96E-06,0.055365052,0,1,-0.091586694,1.021435028,0
2431833,3/11/2018 0:16,VH-VYJ,737-800,QFA - 737-800 (1024 wps),YPAD,YSSY,40819332,Airborne Speed High,Level 2,Not a False Positive,541,563,2,5.12E-05,0.049927691,0,1,-0.091586694,1.021435028,0
2431550,2/11/2018 10:01,VH-VYA,737-800,QFA - 737-800 (1024 wps),YMML,YSCB,40819367,Airborne Speed High,Level 2,Not a False Positive,1076,1096,2,-0.001525879,0.042927807,0,5,-0.826390207,5.203769787,0
